Entry	KEGG	Entry name	Protein names	Gene names	Gene ontology IDs
A9RCI6	PHYPADRAFT_111783	A9RCI6_PHYPA	Pectate lyase (EC 4.2.2.2)	PHYPADRAFT_111783	GO:0046872; GO:0030570; GO:0045490
A9S1V0	PHYPADRAFT_73465	A9S1V0_PHYPA	Predicted protein	PHYPADRAFT_73465	
A9RJ03	PHYPADRAFT_52179	A9RJ03_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_52179	GO:0051260
A9TSD5	PHYPADRAFT_197754	A9TSD5_PHYPA	Predicted protein	PHYPADRAFT_197754	GO:0005525; GO:0003924
A9SZM4	PHYPADRAFT_86100	A9SZM4_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_86100	GO:0006281; GO:0042138; GO:0045132; GO:0009506; GO:0007131; GO:0033044; GO:0007062
A9RF31	PHYPADRAFT_112974	A9RF31_PHYPA	Predicted protein	PHYPADRAFT_112974	
A9RT06	PHYPADRAFT_70167	A9RT06_PHYPA	Predicted protein	PHYPADRAFT_70167	
A9RTW6	PHYPADRAFT_178081	A9RTW6_PHYPA	Uncharacterized protein	PHYPADRAFT_178081	GO:0005524; GO:0004672
A9RGV7	PHYPADRAFT_113830	A9RGV7_PHYPA	Thioredoxin reductase (EC 1.8.1.9)	PHYPADRAFT_113830	GO:0005737; GO:0050660; GO:0019430; GO:0004791
A9TRQ9	PHYPADRAFT_96278	A9TRQ9_PHYPA	Predicted protein	PHYPADRAFT_96278	GO:0016798
A9U0G4	PHYPADRAFT_153823	A9U0G4_PHYPA	Predicted protein	PHYPADRAFT_153823	GO:0016787
A9TYD3	PHYPADRAFT_152573	A9TYD3_PHYPA	Early light-induced protein 5	ELIP5 PHYPADRAFT_152573	
A9SRI0	PHYPADRAFT_133871	A9SRI0_PHYPA	Predicted protein	PHYPADRAFT_133871	
A9S6K8	PHYPADRAFT_124889	A9S6K8_PHYPA	Predicted protein	PHYPADRAFT_124889	GO:0009507; GO:0004151; GO:0019856
A9T3U4	PHYPADRAFT_167907	A9T3U4_PHYPA	Predicted protein	PHYPADRAFT_167907	GO:0016020; GO:0004601
A9TB10	PHYPADRAFT_142833	A9TB10_PHYPA	Proteasome subunit beta type (EC 3.4.25.1)	PHYPADRAFT_142833	GO:0005737; GO:0005634; GO:0005839; GO:0051603; GO:0004298
A9SR23	PHYPADRAFT_82772	A9SR23_PHYPA	Predicted protein	PHYPADRAFT_82772	
A9U2L5	PHYPADRAFT_100852	A9U2L5_PHYPA	Predicted protein	PHYPADRAFT_100852	
A9SRQ1	PHYPADRAFT_134160	A9SRQ1_PHYPA	Predicted protein	PHYPADRAFT_134160	GO:0006457
A9THT8	PHYPADRAFT_145746	A9THT8_PHYPA	Glucose-6-phosphate isomerase (EC 5.3.1.9)	PHYPADRAFT_145746	GO:0006094; GO:0004347; GO:0006096
A9TAZ8	PHYPADRAFT_142900	A9TAZ8_PHYPA	Predicted protein	PHYPADRAFT_142900	GO:0003824
A9TRS3	PHYPADRAFT_171563	A9TRS3_PHYPA	Predicted protein	PHYPADRAFT_171563	GO:0046872; GO:0030001
A9STB4	PHYPADRAFT_106968	A9STB4_PHYPA	Predicted protein	PHYPADRAFT_106968	GO:0005524; GO:0004672
A9RBY7	PHYPADRAFT_158495	A9RBY7_PHYPA	Uncharacterized protein	PHYPADRAFT_158495	
A9TAT4	PHYPADRAFT_90318	A9TAT4_PHYPA	Predicted protein	PHYPADRAFT_90318	GO:0003676; GO:0008270
A9TN36	PHYPADRAFT_94905	A9TN36_PHYPA	Predicted protein	PHYPADRAFT_94905	GO:0003676; GO:0008270
A9T552	PHYPADRAFT_191704	A9T552_PHYPA	Predicted protein	PHYPADRAFT_191704	GO:0006777; GO:0009507
A9SSZ8	PHYPADRAFT_234045	A9SSZ8_PHYPA	Predicted protein	PHYPADRAFT_234045	GO:0016491
A9SPL6	PHYPADRAFT_133247	A9SPL6_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_133247	GO:0005794; GO:0005783; GO:0006635; GO:0016810; GO:0016558; GO:0006212
A9SX84	PHYPADRAFT_189362	A9SX84_PHYPA	Predicted protein	PHYPADRAFT_189362	GO:0030131; GO:0006886; GO:0016192
A9U5I1	PHYPADRAFT_102668	A9U5I1_PHYPA	Predicted protein	PHYPADRAFT_102668	
A9RFK7	PHYPADRAFT_174318	A9RFK7_PHYPA	Annexin	PHYPADRAFT_174318	GO:0005509; GO:0005544
A9TVC5	PHYPADRAFT_198634	A9TVC5_PHYPA	Predicted protein	PHYPADRAFT_198634	
A9RXH9	PHYPADRAFT_206582	A9RXH9_PHYPA	Gamma tubulin ring complex protein 4	PHYPADRAFT_206582	GO:0043622; GO:0040007; GO:0016570; GO:0007020; GO:0005815; GO:0009506; GO:0009909; GO:0000922; GO:0045298
A9RMB3	PHYPADRAFT_203859	A9RMB3_PHYPA	Predicted protein	PHYPADRAFT_203859	GO:0016021; GO:0016758
A9TXQ4	PHYPADRAFT_226453	A9TXQ4_PHYPA	Predicted protein	PHYPADRAFT_226453	
A9RJY2	PHYPADRAFT_159536	A9RJY2_PHYPA	Predicted protein	PHYPADRAFT_159536	
A9RG31	PHYPADRAFT_158849	A9RG31_PHYPA	Uncharacterized protein	PHYPADRAFT_158849	
A9TRR0	PHYPADRAFT_96279	A9TRR0_PHYPA	Predicted protein	PHYPADRAFT_96279	GO:0005975; GO:0004553
A9RGL7	PHYPADRAFT_202191	A9RGL7_PHYPA	Predicted protein	PHYPADRAFT_202191	GO:0016021; GO:0022891
A9T6C2	PHYPADRAFT_88663	A9T6C2_PHYPA	Predicted protein	PHYPADRAFT_88663	GO:0007126; GO:0006282
A9S7H7	PHYPADRAFT_125455	A9S7H7_PHYPA	Predicted protein	PHYPADRAFT_125455	GO:0005524; GO:0003723; GO:0004386; GO:0005634; GO:0008270
A9TG36	PHYPADRAFT_221970	A9TG36_PHYPA	ATP-binding cassette transporter, subfamily C, member 9, group MRP protein PpABCC9	ppabcc9 PHYPADRAFT_221970	GO:0005524; GO:0042626; GO:0016021
A9SE08	PHYPADRAFT_57561	A9SE08_PHYPA	Predicted protein	PHYPADRAFT_57561	GO:0043565; GO:0003700; GO:0008270
A9TT67	PHYPADRAFT_150199	A9TT67_PHYPA	Predicted protein	PHYPADRAFT_150199	GO:0006397; GO:0005634
A9T8U8	PHYPADRAFT_168700	A9T8U8_PHYPA	Predicted protein	PHYPADRAFT_168700	GO:0006629
A9TNW0	PHYPADRAFT_171112	A9TNW0_PHYPA	Predicted protein	PHYPADRAFT_171112	
A9TEM6	PHYPADRAFT_107996	A9TEM6_PHYPA	Predicted protein	PHYPADRAFT_107996	GO:0019477; GO:0005829; GO:0050665; GO:0016926; GO:0009750; GO:0009744; GO:0047130; GO:0010228
A9RZ63	PHYPADRAFT_161917	A9RZ63_PHYPA	40S ribosomal protein S24	PHYPADRAFT_161917	GO:0000166; GO:0005840; GO:0003735; GO:0006412
A9SVW4	PHYPADRAFT_136114	A9SVW4_PHYPA	Predicted protein	PHYPADRAFT_136114	GO:0003677; GO:0006281; GO:0042644; GO:0010388; GO:0004519; GO:0016571; GO:0009640; GO:0008284; GO:0045893; GO:0043687; GO:0016579; GO:0016567
A9RYN2	PHYPADRAFT_161882	A9RYN2_PHYPA	Predicted protein	PHYPADRAFT_161882	
A9SD65	PHYPADRAFT_127795	A9SD65_PHYPA	Pectinesterase (EC 3.1.1.11)	PHYPADRAFT_127795	GO:0045330; GO:0005618; GO:0042545; GO:0030599
A9S4X5	PHYPADRAFT_74637	A9S4X5_PHYPA	Predicted protein	PHYPADRAFT_74637	GO:0035091
A9T4M7	PHYPADRAFT_218855	A9T4M7_PHYPA	ATP-binding cassette transporter, subfamily I, member 9, ABC component protein PpABCI9	ppabci9 PHYPADRAFT_218855	GO:0005524; GO:0016887
A9T8I0	PHYPADRAFT_89480	A9T8I0_PHYPA	Predicted protein	PHYPADRAFT_89480	GO:0003676; GO:0008270
A9TZN1	PHYPADRAFT_99386	A9TZN1_PHYPA	Predicted protein	PHYPADRAFT_99386	
A9T986	PHYPADRAFT_192815	A9T986_PHYPA	Cpk11 calcium-dependent protein kinase	cpk11 PHYPADRAFT_192815	GO:0005524; GO:0005509; GO:0004672
A9RMK2	PHYPADRAFT_176440	A9RMK2_PHYPA	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	PHYPADRAFT_176440	GO:0048046; GO:0005507; GO:0052716; GO:0046274
A9TDV6	PHYPADRAFT_221299	A9TDV6_PHYPA	Predicted protein	PHYPADRAFT_221299	GO:0051645; GO:0030048; GO:0005509; GO:0051646; GO:0060151; GO:0005773
A9SKT1	PHYPADRAFT_229964	A9SKT1_PHYPA	Predicted protein	PHYPADRAFT_229964	
A9TB32	PHYPADRAFT_169047	A9TB32_PHYPA	Predicted protein	PHYPADRAFT_169047	
A9SMM0	PHYPADRAFT_81444	A9SMM0_PHYPA	Predicted protein	PHYPADRAFT_81444	GO:0005524; GO:0004003; GO:0003677; GO:0006139
A9TKI1	PHYPADRAFT_146960	A9TKI1_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_146960	GO:0045454; GO:0009534; GO:0010190; GO:0019761; GO:0006662; GO:0016671; GO:0015035; GO:0031977
A9TGL4	PHYPADRAFT_169973	A9TGL4_PHYPA	Predicted protein	PHYPADRAFT_169973	
A9TGZ5	PHYPADRAFT_92647	A9TGZ5_PHYPA	Predicted protein	PHYPADRAFT_92647	
A9SKA1	PHYPADRAFT_80543	A9SKA1_PHYPA	Predicted protein	PHYPADRAFT_80543	GO:0003676; GO:0008270
A9TIZ2	PHYPADRAFT_146294	A9TIZ2_PHYPA	Predicted protein	PHYPADRAFT_146294	GO:0007049; GO:0006457; GO:0034976; GO:0009408; GO:0009644; GO:0042542
A9SYB9	PHYPADRAFT_189740	A9SYB9_PHYPA	Predicted protein	PHYPADRAFT_189740	GO:0016787; GO:0006629
A9SVC2	PHYPADRAFT_188805	A9SVC2_PHYPA	Predicted protein	PHYPADRAFT_188805	GO:0010413; GO:0004386; GO:0042138; GO:0045132; GO:0007131; GO:0032204; GO:0010332; GO:0007062; GO:0043247; GO:0045492
A9TVU8	PHYPADRAFT_151552	A9TVU8_PHYPA	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	PHYPADRAFT_151552	GO:0015977; GO:0004497; GO:0009853; GO:0015979; GO:0009536; GO:0016984
A9SL89	PHYPADRAFT_165529	A9SL89_PHYPA	Predicted protein	PHYPADRAFT_165529	
A9THZ1	PHYPADRAFT_93000	A9THZ1_PHYPA	Predicted protein	PHYPADRAFT_93000	
A9SAJ7	PHYPADRAFT_182885	A9SAJ7_PHYPA	Predicted protein	PHYPADRAFT_182885	
Q1XG95	PhpafMp39	Q1XG95_PHYPA	Ribosomal protein L6	rpl6	GO:0005739; GO:0019843; GO:0005840; GO:0003735; GO:0006412
Q8LPC0		Q8LPC0_PHYPA	Pp1 protein	Pp1	GO:0043531
A9RL75	PHYPADRAFT_67611	A9RL75_PHYPA	GA 2-oxidase	PpGA2ox3 PHYPADRAFT_67611	GO:0005506; GO:0016706
A9T275	PHYPADRAFT_139142	A9T275_PHYPA	Predicted protein	PHYPADRAFT_139142	GO:0016021; GO:0055085
A9TZV8	PHYPADRAFT_153252	A9TZV8_PHYPA	ATP-binding cassette transporter, subfamily G, member 13, group WBC protein PpABCG13	ppabcg13 PHYPADRAFT_153252	GO:0005524; GO:0016887; GO:0016020
A9RTB7	PHYPADRAFT_205382	A9RTB7_PHYPA	MM-ALDH	ALDH6A PHYPADRAFT_205382	GO:0015996; GO:0005507; GO:0004491; GO:0006979
A9T8I6	PHYPADRAFT_141856	A9T8I6_PHYPA	Predicted protein	PHYPADRAFT_141856	GO:0035514; GO:0006281; GO:0016706
A9S918	PHYPADRAFT_76179	A9S918_PHYPA	Predicted protein	PHYPADRAFT_76179	GO:0003677; GO:0005634; GO:0003700
A9T4N9	PHYPADRAFT_88035	A9T4N9_PHYPA	Predicted protein	PHYPADRAFT_88035	
B5B3X5		B5B3X5_PHYPA	Actin-related protein 6	ARP6	GO:0030029 GO:0008283; GO:0006338; GO:0042742; GO:0009910; GO:0005634; GO:0006355; GO:0009266; GO:0005200
A9TVC4	PHYPADRAFT_61200	A9TVC4_PHYPA	Predicted protein	PHYPADRAFT_61200	GO:0005975; GO:0004553
A9S1X8	PHYPADRAFT_162345	A9S1X8_PHYPA	Predicted protein	PHYPADRAFT_162345	GO:0008080; GO:0008270
A9RII8	PHYPADRAFT_114828	A9RII8_PHYPA	Predicted protein	PHYPADRAFT_114828	GO:0005524; GO:0006635; GO:0005622; GO:0016558
A9RNG4	PHYPADRAFT_117052	A9RNG4_PHYPA	Predicted protein	PHYPADRAFT_117052	GO:0006506; GO:0016021; GO:0017176
A9SC70	PHYPADRAFT_127444	A9SC70_PHYPA	Predicted protein	PHYPADRAFT_127444	GO:0051539; GO:0003677; GO:0003906; GO:0006284
A9RNK1	PHYPADRAFT_176782	A9RNK1_PHYPA	Predicted protein	PHYPADRAFT_176782	GO:0005524; GO:0004075; GO:0050897; GO:0022626; GO:0009750; GO:0009744
A9RJX7	PHYPADRAFT_67124	A9RJX7_PHYPA	Predicted protein	PHYPADRAFT_67124	
A9TVJ6	PHYPADRAFT_172201	A9TVJ6_PHYPA	Ribonuclease (EC 3.1.26.-)	PHYPADRAFT_172201	GO:0003723; GO:0004523
A9U888	PHYPADRAFT_104282	A9U888_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_104282	GO:0016021; GO:0005886; GO:0006810
A9T4A3	PHYPADRAFT_16691	A9T4A3_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_16691	GO:0005524; GO:0004672
A9RF24	PHYPADRAFT_112800	A9RF24_PHYPA	Uncharacterized protein	HY2 PHYPADRAFT_112800	GO:0010019; GO:0050897; GO:0016636; GO:0010024
A9TGM1	PHYPADRAFT_169977	A9TGM1_PHYPA	Predicted protein	PHYPADRAFT_169977	GO:0016787; GO:0006629
A9SXG5	PHYPADRAFT_136878	A9SXG5_PHYPA	Predicted protein	PHYPADRAFT_136878	
A0A0D6CBM7		A0A0D6CBM7_PHYPA	snRNA transcription factor	PpSRD2	
A9RP44	PHYPADRAFT_68852	A9RP44_PHYPA	Predicted protein	PHYPADRAFT_68852	
A9T6K0	PHYPADRAFT_140970	A9T6K0_PHYPA	ATP-binding cassette transporter, subfamily B, member 24, group MDR protein PpABCB24	ppabcb24 PHYPADRAFT_140970	GO:0005524; GO:0042626; GO:0016021
A9RWI4	PHYPADRAFT_178800	A9RWI4_PHYPA	Predicted protein	PHYPADRAFT_178800	
A9RFE4	PHYPADRAFT_113185	A9RFE4_PHYPA	Predicted protein	PHYPADRAFT_113185	
A9TQ98	PHYPADRAFT_171332	A9TQ98_PHYPA	Predicted protein	PHYPADRAFT_171332	GO:0020037; GO:0005506; GO:0006629; GO:0016717
A9RYK2	PHYPADRAFT_161866	A9RYK2_PHYPA	Predicted protein	PHYPADRAFT_161866	GO:0019243; GO:0019843; GO:0005840; GO:0003735; GO:0006412
A9SL61	PHYPADRAFT_213502	A9SL61_PHYPA	Predicted protein	PHYPADRAFT_213502	GO:0050518; GO:0008299
A9S7K0	PHYPADRAFT_75618	A9S7K0_PHYPA	Predicted protein	PHYPADRAFT_75618	
A9SV66	PHYPADRAFT_188742	A9SV66_PHYPA	Predicted protein	PHYPADRAFT_188742	GO:0009062
A9RWR1	PHYPADRAFT_161460	A9RWR1_PHYPA	Predicted protein	PHYPADRAFT_161460	GO:0046872; GO:0003676
A9SF24	PHYPADRAFT_184262	A9SF24_PHYPA	Serine/threonine-protein phosphatase (EC 3.1.3.16)	PHYPADRAFT_184262	GO:0009742; GO:0004721
A9S1G4	PHYPADRAFT_162323	A9S1G4_PHYPA	Predicted protein	PHYPADRAFT_162323	
A9TQF2	PHYPADRAFT_95792	A9TQF2_PHYPA	Predicted protein	PHYPADRAFT_95792	
A9SLW4	PHYPADRAFT_62870	A9SLW4_PHYPA	Predicted protein	PHYPADRAFT_62870	
A9RXC6	PHYPADRAFT_161559	A9RXC6_PHYPA	Predicted protein	PHYPADRAFT_161559	GO:0003677
A9TZR7	PHYPADRAFT_99422	A9TZR7_PHYPA	Uncharacterized protein	TUE PHYPADRAFT_99422	GO:0005525; GO:0003924; GO:0005874; GO:0007017; GO:0051258
A9SNK5	PHYPADRAFT_165914	A9SNK5_PHYPA	Predicted protein	PHYPADRAFT_165914	GO:0008168
A4PHN3		A4PHN3_PHYPA	RecA	PprecA2	GO:0005524 GO:0006281; GO:0008094; GO:0009432; GO:0009691; GO:0007131; GO:0003697
A9TSQ2	PHYPADRAFT_149959	A9TSQ2_PHYPA	Predicted protein	PHYPADRAFT_149959	GO:0008173; GO:0009658; GO:0005737; GO:0051536; GO:0045036; GO:0070475; GO:0030488
A9SKK9	PHYPADRAFT_131389	A9SKK9_PHYPA	Predicted protein	PHYPADRAFT_131389	GO:0006888; GO:0016831; GO:0006635; GO:0080129; GO:0043161; GO:0030170; GO:0051788; GO:0030149; GO:0009407
A9TW63	PHYPADRAFT_98088	A9TW63_PHYPA	Predicted protein	PHYPADRAFT_98088	
A9TVC2	PHYPADRAFT_151328	A9TVC2_PHYPA	Predicted protein	PHYPADRAFT_151328	GO:0016021; GO:0022891
A9RYB3	PHYPADRAFT_121107	A9RYB3_PHYPA	Predicted protein	PHYPADRAFT_121107	GO:0017183
A9RBE2	PHYPADRAFT_54913	A9RBE2_PHYPA	Uncharacterized protein	PHYPADRAFT_54913	GO:0007034
A9U341	PHYPADRAFT_8489	A9U341_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_8489	GO:0009507; GO:0009055; GO:0051536; GO:0005739; GO:0009853; GO:0080129; GO:0051788; GO:0006511
A9TID7	PHYPADRAFT_170248	A9TID7_PHYPA	Predicted protein	PHYPADRAFT_170248	
A9TN95	PHYPADRAFT_148110	A9TN95_PHYPA	Predicted protein	PHYPADRAFT_148110	GO:0006886
A9TWE0	PHYPADRAFT_151797	A9TWE0_PHYPA	50S ribosomal protein L35	PHYPADRAFT_151797	GO:0005840; GO:0003735; GO:0006412
A9TCS0	PHYPADRAFT_91069	A9TCS0_PHYPA	Predicted protein	PHYPADRAFT_91069	
A9RCN7	PHYPADRAFT_201465	A9RCN7_PHYPA	Predicted protein	PHYPADRAFT_201465	GO:0004190
A9RNT4	PHYPADRAFT_160146	A9RNT4_PHYPA	Predicted protein	PHYPADRAFT_160146	GO:0003677; GO:0003682; GO:0005634
A9SPA5	PHYPADRAFT_132977	A9SPA5_PHYPA	Histone H4	HFO1513 PHYPADRAFT_132977	GO:0003677; GO:0000786; GO:0006334; GO:0005634
A9TN42	PHYPADRAFT_94910	A9TN42_PHYPA	Predicted protein	PHYPADRAFT_94910	GO:0008324; GO:0006813
A9S4N6	PHYPADRAFT_74504	A9S4N6_PHYPA	Predicted protein	PHYPADRAFT_74504	GO:0020037; GO:0004601; GO:0006979
A9RZW1	PHYPADRAFT_122055	A9RZW1_PHYPA	Predicted protein	PHYPADRAFT_122055	
A9RLL5	PHYPADRAFT_116215	A9RLL5_PHYPA	Kinesin-like protein	PHYPADRAFT_116215	GO:0005524; GO:0005871; GO:0005874; GO:0003777; GO:0007018
A9S745	PHYPADRAFT_125145	A9S745_PHYPA	Predicted protein	PHYPADRAFT_125145	GO:0005524; GO:0004672
A9S6L2	PHYPADRAFT_105861	A9S6L2_PHYPA	Predicted protein	PHYPADRAFT_105861	GO:0005524; GO:0004672
A9SGC4	PHYPADRAFT_129273	A9SGC4_PHYPA	Predicted protein	PHYPADRAFT_129273	GO:0008703; GO:0009570; GO:0008835; GO:0009231; GO:0008270
A9SF48	PHYPADRAFT_211664	A9SF48_PHYPA	Hexosyltransferase (EC 2.4.1.-)	PHYPADRAFT_211664	GO:0000139; GO:0071555; GO:0016021; GO:0045489; GO:0047262
A9RKB3	PHYPADRAFT_115880	A9RKB3_PHYPA	Predicted protein	PHYPADRAFT_115880	GO:0005794; GO:0007030; GO:0005507; GO:0006096; GO:0006972; GO:0005758; GO:0016491; GO:0009505; GO:0046686; GO:0009266; GO:0006833
A9SH49	PHYPADRAFT_129721	A9SH49_PHYPA	Predicted protein	PHYPADRAFT_129721	GO:0015018; GO:0016020
A9TCW3	PHYPADRAFT_169354	A9TCW3_PHYPA	Predicted protein	PHYPADRAFT_169354	GO:0006261; GO:0010485; GO:0006348; GO:0005829; GO:0005634; GO:0009909
A9U8C3	PHYPADRAFT_158410	A9U8C3_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_158410	GO:0051287; GO:0016616
A9RER6	PHYPADRAFT_112929	A9RER6_PHYPA	CLL1B clavata1-like receptor S/T protein kinase protein	CLL1B PHYPADRAFT_112929	GO:0005524; GO:0004672
A9RWE2	PHYPADRAFT_105299	A9RWE2_PHYPA	Predicted protein	PHYPADRAFT_105299	GO:0006813
A9RFU1	PHYPADRAFT_174387	A9RFU1_PHYPA	Uncharacterized protein	PHYPADRAFT_174387	GO:0003824
A9SKU6	PHYPADRAFT_131564	A9SKU6_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_131564	GO:0004527; GO:0046872; GO:0003676
A9SMC4	PHYPADRAFT_81343	A9SMC4_PHYPA	Predicted protein	PHYPADRAFT_81343	
A9SZD8	PHYPADRAFT_217419	A9SZD8_PHYPA	Predicted protein	PHYPADRAFT_217419	GO:0007030; GO:0048193; GO:0016049; GO:0000902; GO:0005737; GO:0016197; GO:0007067; GO:0006623; GO:0005681; GO:0007033
A9TBE0	PHYPADRAFT_10927	A9TBE0_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_10927	GO:0042023; GO:0007276; GO:0043248; GO:0043161; GO:0032875; GO:0051302; GO:0051510; GO:0051788
A9U189	PHYPADRAFT_228857	A9U189_PHYPA	Hexokinase (EC 2.7.1.1)	hxk2 PHYPADRAFT_228857	GO:0005524; GO:0006096; GO:0004396
A9TK65	PHYPADRAFT_146881	A9TK65_PHYPA	Predicted protein	PHYPADRAFT_146881	GO:0003849; GO:0009073
A9TEQ8	PHYPADRAFT_144524	A9TEQ8_PHYPA	Predicted protein	PHYPADRAFT_144524	GO:0003950
A9TJ14	PHYPADRAFT_146257	A9TJ14_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_146257	GO:0008168; GO:0003676
A9TDC2	PHYPADRAFT_91296	A9TDC2_PHYPA	Predicted protein	PHYPADRAFT_91296	GO:0047134
A9RK39	PHYPADRAFT_115589	A9RK39_PHYPA	Predicted protein	PHYPADRAFT_115589	GO:0003723; GO:0006396; GO:0004540
A9TUY1	PHYPADRAFT_172093	A9TUY1_PHYPA	Predicted protein	PHYPADRAFT_172093	
A9RXI6	PHYPADRAFT_161598	A9RXI6_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_161598	
A9SMN5	PHYPADRAFT_165737	A9SMN5_PHYPA	Predicted protein	PHYPADRAFT_165737	GO:0008324; GO:0016021
A9TUP9	PHYPADRAFT_151059	A9TUP9_PHYPA	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	PFK PHYPADRAFT_151059	GO:0003872; GO:0005524; GO:0005737; GO:0006002; GO:0006096; GO:0046872
A9TAA8	PHYPADRAFT_168894	A9TAA8_PHYPA	Predicted protein	PHYPADRAFT_168894	GO:0008270
A9TYF7	PHYPADRAFT_152627	A9TYF7_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_152627	GO:0015995; GO:0009941; GO:0009534; GO:0019288; GO:0046406; GO:0046777; GO:0006364; GO:0010155
A9SWE0	PHYPADRAFT_166922	A9SWE0_PHYPA	Predicted protein	PHYPADRAFT_166922	
A9RUX0	PHYPADRAFT_70873	A9RUX0_PHYPA	Uncharacterized protein	PHYPADRAFT_70873	GO:0003682
A9SVV0	PHYPADRAFT_188912	A9SVV0_PHYPA	Predicted protein	PHYPADRAFT_188912	GO:0005524; GO:0016597; GO:0004672
A9TIU4	PHYPADRAFT_195464	A9TIU4_PHYPA	Predicted protein	PHYPADRAFT_195464	GO:0005524; GO:0004672
A9U210	PHYPADRAFT_100553	A9U210_PHYPA	Predicted protein	PHYPADRAFT_100553	GO:0003676; GO:0008270
A9SZ30	PHYPADRAFT_217313	A9SZ30_PHYPA	Predicted protein	PHYPADRAFT_217313	
A9U403	PHYPADRAFT_200971	A9U403_PHYPA	Photolyase-like protein	Cry3 PHYPADRAFT_200971	GO:0003913; GO:0006281
A9RIT9	PHYPADRAFT_159322	A9RIT9_PHYPA	Predicted protein	PHYPADRAFT_159322	GO:0008430
A9RDW9	PHYPADRAFT_174093	A9RDW9_PHYPA	Predicted protein	PHYPADRAFT_174093	GO:0045330; GO:0005618; GO:0042545; GO:0030599
A9RPZ4	PHYPADRAFT_160321	A9RPZ4_PHYPA	Predicted protein	PHYPADRAFT_160321	GO:0003676; GO:0008270
A9TM46	PHYPADRAFT_170812	A9TM46_PHYPA	Predicted protein	PHYPADRAFT_170812	GO:0003723; GO:0006396; GO:0016075; GO:0004525
A9RP53	PHYPADRAFT_117470	A9RP53_PHYPA	Predicted protein	PHYPADRAFT_117470	GO:0005524; GO:0003723; GO:0005737; GO:0000287; GO:0004826; GO:0006432
A9TMK6	PHYPADRAFT_170869	A9TMK6_PHYPA	Predicted protein	PHYPADRAFT_170869	
A9REY5	PHYPADRAFT_113064	A9REY5_PHYPA	Predicted protein	PHYPADRAFT_113064	GO:0015986; GO:0046933; GO:0045261; GO:0046961
A9TPZ2	PHYPADRAFT_95622	A9TPZ2_PHYPA	Predicted protein	PHYPADRAFT_95622	GO:0009058; GO:0016742
A9RE68	PHYPADRAFT_64924	A9RE68_PHYPA	Predicted protein	PHYPADRAFT_64924	GO:0008124; GO:0009073; GO:0009507; GO:0009902; GO:0016226; GO:0006098; GO:0010207; GO:0006364; GO:0035304; GO:0006729; GO:0010027; GO:0042793
A9RXU2	PHYPADRAFT_179243	A9RXU2_PHYPA	Predicted protein	PHYPADRAFT_179243	GO:0006520; GO:0016491
A9TQZ4	PHYPADRAFT_108609	A9TQZ4_PHYPA	Predicted protein	PHYPADRAFT_108609	GO:0008080; GO:0002213; GO:0006633; GO:0001676
A9U581		A9U581_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_102496	GO:0006865 GO:0030288
A9S0U9	PHYPADRAFT_180155	A9S0U9_PHYPA	Predicted protein	PHYPADRAFT_180155	
A9RZF2	PHYPADRAFT_207198	A9RZF2_PHYPA	Predicted protein	PHYPADRAFT_207198	GO:0003824; GO:0030170
A9REM6	PHYPADRAFT_65123	A9REM6_PHYPA	Predicted protein	PHYPADRAFT_65123	GO:0006281; GO:0006261; GO:0005829; GO:0004170; GO:0046080; GO:0000287
A9SYM5	PHYPADRAFT_189840	A9SYM5_PHYPA	Predicted protein	PHYPADRAFT_189840	GO:0005524; GO:0005737; GO:0006457
A9SCB0	PHYPADRAFT_183347	A9SCB0_PHYPA	Predicted protein	PHYPADRAFT_183347	GO:0003723
A9TA86	PHYPADRAFT_168885	A9TA86_PHYPA	Predicted protein	PHYPADRAFT_168885	GO:0016787
A9RZI1	PHYPADRAFT_207213	A9RZI1_PHYPA	Predicted protein	PHYPADRAFT_207213	GO:0005975; GO:0004553
A9RGN1	PHYPADRAFT_24068	A9RGN1_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_24068	GO:0009507; GO:0004665; GO:0008977; GO:0006571
A9SUV7	PHYPADRAFT_51492	A9SUV7_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_51492	GO:0005524; GO:0004672
A9T592	PHYPADRAFT_140431	A9T592_PHYPA	Predicted protein	PHYPADRAFT_140431	GO:0016021; GO:0016758
