Gene	F163	F164	F165	F166	F167	F168	F169
Pp1s189_99V6.1	1.7772	1.1226	1.4941	1.1226	1.4941	1.4941	1.3636
Pp1s37_298V6.1	1.8997	0.9689	0.9689	1.169	1.3894	0.9689	1.3894
Pp1s61_72V6.1	1.3923	1.3923	1.0093	1.3923	2.1078	2.1078	1.6103
Pp1s352_68V6.1	1.4452	1.4452	1.32	1.32	2.0178	1.0883	1.2011
Pp1s85_113V6.1	2.4849	1.5506	1.5506	1.5506	2.4849	1.5506	0.86679
Pp1s17_101V6.1	0.99225	0.65084	0.45639	1.1211	1.1211	1.1211	1.1211
Pp1s79_110V6.1	3.061	2.5041	2.7723	4.0669	4.8723	2.7723	3.7066
Pp1s12_315V6.1	1.7939	0.79878	0.79878	0.93575	1.0832	0.93575	1.4125
Pp1s496_1V6.1 (+2)	0.93669	0.47045	0.6417	1.1622	1.2847	0.93669	0.8329
Pp1s319_46V6.1	2.7584	1.9543	1.6193	1.3222	1.9543	1.9543	1.3222
Pp1s372_60V6.1	1.0284	0.60242	0.60242	0.93502	0.8459	0.67978	1.0284
Pp1s162_10V6.1	0.81459	0.70962	0.61073	0.70962	0.61073	0.51756	0.61073
Pp1s220_79V6.1 (+1)	0.42809	0.21892	0.26815	0	0	0	0
Pp1s198_147V6.1	2.9906	1.2283	1.3966	0.92619	1.0717	0.33824	0.43935
Pp1s33_7V6.1	1.3963	1.1746	1.6407	1.91	1.91	1.3963	1.6407
Pp1s37_33V6.2	0.62849	0.35633	0.27612	1.3476	1.652	0.53219	1.2088
Pp1s126_81V6.1	1.2081	1.2081	1.4113	2.1399	2.4288	1.8754	1.8754
Pp1s104_98V6.1	1.2413	1.2413	1.4296	0.90719	0.75932	0.62291	0.90719
sp|Q6YXP9|NDHI_PHYPA	2.8087	1.8295	1.8295	1.4388	1.4388	1.8295	1.1021
Pp1s37_35V6.1	0.69632	0.51471	0.76158	0.20772	0.16298	0.1199	0.038469
Pp1s66_172V6.1	5.683	4.1877	6.5852	0.28824	0.46216	0.46216	0.28824
Pp1s112_169V6.1 (+1)	5.2248	5.2248	3.2068	4.4626	4.4626	3.7938	3.2068
Pp1s433_23V6.3	0.64554	0.64554	1.1109	0.86374	0.86374	0.64554	0.64554
Pp1s81_54V6.1	0.77062	0.40889	0.40889	0.57943	0.87473	0.49172	0.49172
Pp1s54_320V6.1 (+1)	0.6514	0.31471	0.72845	1.0743	1.0743	0.8935	1.0743
Pp1s20_284V6.1	3.5936	2.6648	3.103	2.6648	3.3414	2.0937	2.2735
Pp1s132_188V6.2	1.0684	0.93613	1.2096	0	0	0	0
Pp1s172_23V6.1	1.5671	1.126	1.5671	0.93469	1.5671	0.93469	0.93469
Pp1s1_21V6.1 (+2)	59.222	33.613	52.908	29.984	29.984	33.613	52.908
Pp1s300_1V6.1	1.8657	2.6211	1.5494	2.6211	3.0705	2.2214	2.2214
Pp1s292_64V6.1	0.51147	0.56931	0.62936	0.25272	0.40211	0.20655	0.35043
Pp1s628_7V6.1	33.57	14.731	16.358	11.921	10.71	14.731	16.358
Pp1s63_71V6.1	6.3982	3.7423	3.7423	2.7968	4.3	4.9232	3.7423
Pp1s85_19V6.1	1.1975	1.1975	1.4248	1.4248	1.9523	1.9523	1.9523
Pp1s46_69V6.1	1.2457	0.96246	0.96246	1.5699	1.5699	0.96246	1.2457
Pp1s22_267V6.1 (+3)	1.847	1.2363	1.0633	0.90379	1.2363	1.0633	1.4237
Pp1s15_267V6.1	1.4852	1.4852	1.03	1.03	0.49869	0.65822	0.65822
Pp1s71_244V6.2	0.87813	0.50355	0.74391	0.44882	0.50355	0.44882	0.50355
Pp1s12_44V6.1	0.47731	0.57658	0.57658	0.47731	0.57658	0.29712	0.38429
Pp1s386_21V6.1	0.28469	0.15735	0.2067	0.28469	0.39658	0.31179	0.39658
Pp1s14_298V6.1	4.8207	2.7006	2.3462	3.5258	4.2634	3.7594	3.0924
Pp1s146_17V6.1 (+2)	0.72612	0.97851	1.1182	0.97851	1.1182	0.84801	1.1182
Pp1s198_154V6.1 (+12)	0.98304	0.83778	0.98304	0	0	0	0
Pp1s199_101V6.1	0.44948	0.66597	0.44948	0.91479	0.91479	0.66597	0.82797
Pp1s336_44V6.1	0.9823	0.76864	0.57802	1.2218	0.87243	0.9823	0.49056
Pp1s70_210V6.1	0.66912	0.66912	1.1564	0	0	0	0
Pp1s236_80V6.1 (+1)	0.08079	0	1.1748	0	0	0	0
Pp1s1_625V6.1 (+2)	72.935	41.585	65.212	37.136	41.585	37.136	58.294
Pp1s62_157V6.1 (+3)	1.3035	0.8698	1.1488	1.6472	1.3035	1.1488	1.4694
Pp1s12_401V6.1	1.0661	0.86265	1.2918	1.5421	2.4695	1.5421	2.4695
Pp1s63_96V6.2	0.11835	0.11835	0.65425	0	0	0	0.057521
Pp1s54_165V6.1	0.30314	0.30314	1.213	0.69818	0.30314	0.30314	0.48761
Pp1s190_104V6.1	0.84647	0.66706	1.0452	0.66706	1.0452	0.66706	0.50509
Pp1s198_42V6.1	1.9615	1.7053	1.2575	1.0622	0.57203	0.88385	0.57203
Pp1s69_133V6.1	0.47738	0.35465	0.41468	0.29716	0.24212	0.24212	0.24212
Pp1s43_232V6.1	0.46544	0.39708	0.10025	0.69124	0.53714	0.69124	0.39708
Pp1s71_187V6.1	3.6153	2.9608	2.6692	3.6153	5.7648	2.3991	3.6153
Pp1s129_118V6.1 (+3)	0.057407	0.057407	0.65265	0.057407	0.057407	0	0.057407
Pp1s156_45V6.1	1.4713	1.2575	1.9615	0.57203	0.43605	0.43605	0.31183
Pp1s189_19V6.1 (+1)	0.59979	0.32568	1.1208	0.4563	0.4563	0.4563	0.4563
Pp1s23_96V6.1 (+1)	0.77041	0.94724	0.94724	1.1417	0.94724	0.60964	0.46347
Pp1s169_50V6.1	0.81459	0.81459	0.81459	1.303	0.926	0.926	1.1698
Pp1s61_208V6.1	2.659	1.283	1.5688	1.283	2.252	1.5688	1.5688
Pp1s152_87V6.1 (+2)	0.73287	0.46939	0.31638	1.0436	1.0436	0.73287	0.8308
Pp1s237_59V6.1 (+4)	1.2678	0.61227	1.1182	1.1182	1.428	1.2678	1.428
Pp1s244_65V6.2 (+1)	0.79878	0.55322	1.0832	0	0	0	0
Pp1s13_392V6.1	0.72013	0.59188	1.1703	0.47319	0.72013	0.36335	0.2617
Pp1s158_109V6.1	1.9676	1.9676	2.3488	1.6298	1.6298	1.6298	1.0651
Pp1s136_198V6.1	0.58693	0.44693	0.51531	1.0936	0.90889	0.58693	0.58693
sp|P61243|YCF2_PHYPA	0	0	0.023998	0	0	0	0
Pp1s37_50V6.1	0.41271	0.41271	0.41271	0.77863	0.99574	0.49644	0.41271
Pp1s106_68V6.1 (+1)	1.1696	1.1696	1.9575	2.453	1.9575	1.9575	1.5331
Pp1s2_123V6.1 (+1)	0.20703	0.3123	0.20703	0.3123	0.36834	0.36834	0.3123
Pp1s399_19V6.1 (+3)	0.76417	0.83222	0.76417	0	0	0	0
Pp1s69_146V6.1	0.83503	0.28781	0.42492	0.57664	0.42492	0.22428	0.28781
Pp1s139_3V6.1	0.4419	0.31583	0.58004	0.4419	0.654	0.257	0.50939
Pp1s276_108V6.1	0.90763	0.65258	0.77553	1.0496	1.3659	1.3659	1.0496
Pp1s44_193V6.1 (+3)	0.47369	0.74013	0.64635	0.944	0.83924	0.64635	0.64635
Pp1s295_46V6.1	0.37012	0.33145	0.29388	0.40991	0.40991	0.37012	0.45086
Pp1s34_237V6.1 (+1)	0.61433	0.74847	1.0511	1.6061	1.4061	1.2215	1.2215
Pp1s22_322V6.1	3.5596	3.5596	3.1209	0	0	0	0.10644
Pp1s38_13V6.1	0	0	0.19747	0	0	0	0
Pp1s379_40V6.1	3.2618	1.87	2.2744	1.87	1.87	3.2618	2.7356
Pp1s479_14V6.1	0.45794	0.53861	0.53861	1.0141	1.2432	0.71361	1.0141
Pp1s59_356V6.1	1.1221	1.363	0.90587	1.6311	1.6311	1.9297	1.6311
Pp1s303_24V6.1	0.80749	0.80749	1.0616	0.5847	0.93036	0.48383	0.5847
Pp1s43_118V6.1 (+5)	3.3642	2.1063	1.7734	0.76246	0.97398	0.5736	0.76246
Pp1s59_73V6.1	1.0401	1.2588	1.0401	1.0401	0.66409	1.2588	0.84252
Pp1s88_182V6.1	1.3757	1.1579	1.8794	0.78044	1.6155	1.1579	1.6155
Pp1s198_153V6.2	0.18538	0.12005	0.66562	0	0	0	0.058326
Pp1s47_18V6.2	0.83118	0.74115	0.74115	0.65555	0.57416	0.83118	0.57416
Pp1s255_17V6.1	0.19002	0	0.92012	0.090881	0.044452	0	0
Pp1s26_209V6.1 (+1)	2.1573	1.4455	1.1522	0.66694	1.1522	1.1522	0.66694
Pp1s114_95V6.1	1.8617	1.2279	1.589	1.589	2.3255	1.3423	1.4626
Pp1s42_59V6.1 (+2)	0.65441	0.55351	0.36979	0.99818	0.99818	0.99818	0.76187
Pp1s54_216V6.1	2.4198	0.93884	1.575	1.3426	1.575	0.60467	1.1312
Pp1s5_222V6.1 (+1)	2.0329	1.0006	1.2982	3.0024	3.5978	2.4841	2.4841
Pp1s316_50V6.1 (+1)	2.234	1.1105	3.4542	3.9557	3.0034	1.6125	3.4542
Pp1s126_26V6.1 (+1)	0.70888	0.49463	0.49463	0.59817	0.82726	0.59817	0.70888
Pp1s37_309V6.1	0.57025	0.47222	0.47222	0.78632	1.0321	1.0321	0.78632
Pp1s160_79V6.1	0.93908	0.82579	0.82579	0.61868	0.61868	0.43506	0.52411
Pp1s66_188V6.1	0.77461	0.49407	0.58228	0.99032	0.77461	0.67568	0.87937
Pp1s38_294V6.1	0.37184	0.37184	0.60677	0.11114	0.11114	0.11114	0.11114
Pp1s13_127V6.2	0.88409	0.30205	0.69532	0.60815	1.0939	0.44703	0.60815
Pp1s15_485V6.1 (+1)	5.6811	3.7087	2.3186	3.7087	3.9501	4.2037	3.7087
Pp1s223_50V6.1	2.5205	1.9149	2.5205	2.5205	2.3058	1.2662	1.5701
Pp1s295_55V6.1	0.98237	0.63033	0.98237	0.63033	0.63033	0.3408	0.63033
Pp1s45_188V6.1 (+1)	2.4635	1.628	1.2892	2.4635	2.9762	1.628	2.4635
Pp1s115_193V6.1	0.40569	0.33894	0.21481	0.62656	0.40569	0.47576	0.62656
Pp1s207_90V6.1	1.559	1.559	1.8779	1.559	1.559	0.79905	1.559
Pp1s12_209V6.1 (+2)	1.566	0.4809	0.60188	4.6274	4.6274	1.7756	2.2477
Pp1s272_32V6.1 (+2)	1.7454	1.7454	1.7454	2.2487	2.2487	2.2487	2.2487
Pp1s9_406V6.1	0.69614	0.97252	0.69614	1.1272	0.97252	0.82912	0.82912
Pp1s317_25V6.1	1.3048	1.3048	1.5289	1.5289	2.0445	1.1006	1.3048
Pp1s52_248V6.1	1.0776	0.83926	0.4414	1.0776	1.6511	0.83926	0.83926
Pp1s53_212V6.1	0.84073	0.78801	0.63876	1.1285	1.3224	0.84073	1.2559
Pp1s206_35V6.1	0.19977	0.15686	0.24428	0.075572	0	0.037098	0.037098
Pp1s53_229V6.2	0.6373	0.55853	0.55853	0.21801	0.48355	0.41218	0.34424
Pp1s45_164V6.1 (+1)	0.8386	0.66114	0.35595	0.66114	1.4931	0.66114	0.66114
Pp1s32_312V6.1 (+1)	0.57363	0.33445	0.28057	0.33445	0.44912	0.51009	0.44912
Pp1s251_44V6.1	7.8486	5.4805	7.8486	13.118	7.8486	7.8486	9.3397
Pp1s27_267V6.1	0.39754	0.39754	0.65214	0.18218	0.39754	0.39754	0.18218
Pp1s48_151V6.1 (+1)	0.67672	0.47348	0.57182	1.0353	1.316	0.78861	1.0353
Pp1s134_68V6.1	1.2718	1.7891	1.2718	0.50725	0.67006	0.36032	0.50725
Pp1s7_127V6.1 (+4)	0.45794	0.24041	1.0141	0.30905	0.45794	0.17537	0.38149
Pp1s3_514V6.1 (+1)	0.64206	0.54335	0.45058	0.74708	0.85881	0.64206	0.64206
Pp1s363_23V6.1	1.8838	1.213	0.69818	1.213	1.5262	0.69818	1.213
Pp1s45_62V6.1	1.0401	0.84252	0.84252	1.0401	1.2588	1.2588	1.0401
Pp1s136_62V6.1	0	0	0	0.15096	0	0	0
Pp1s54_166V6.1	3.2005	2.4218	5.3297	1.2708	1.7875	1.2708	1.2708
Pp1s75_250V6.2 (+2)	0.40513	0.40513	0.48709	0.48709	0.48709	0.32769	0.66562
Pp1s68_123V6.1	0.94258	0.78785	0.94258	0.94258	1.1107	1.2934	0.94258
Pp1s86_22V6.1	1.0145	0.63275	0.63275	0.23382	0	0	0
Pp1s268_34V6.1	1.1021	0.56168	0.81185	0.81185	0.56168	0.81185	0.56168
Pp1s140_7V6.1	1.2766	0.98487	0.73056	0.40885	0.50883	0.22834	0.40885
Pp1s123_43V6.1	1.807	1.2317	0.77429	1.2317	1.5029	0.77429	0.58204
Pp1s330_9V6.1	0.97851	0.97851	0.61227	0.97851	0.72612	0.4066	0.97851
Pp1s34_178V6.1	1.283	0.60273	1.283	1.029	1.5688	0.80333	1.029
Pp1s62_236V6.1 (+4)	1.0111	0.32244	0.41815	1.0111	1.1567	0.63083	0.87542
Pp1s10_248V6.1	0.49708	0.49708	0.62291	1.4296	1.4296	1.2413	1.0675
Pp1s4_321V6.1	102.86	28.275	32.698	58.159	28.275	32.698	24.433
sp|Q6YXL1|RR8_PHYPA	3.1586	3.1586	5.2487	4.0976	2.3925	1.7676	2.3925
Pp1s43_120V6.1	0.70645	0.95037	0.95037	0.49303	0.70645	0.14294	0.14294
Pp1s123_142V6.1	0.18564	0.15715	0.15715	0.075709	0.1022	0.075709	0.075709
Pp1s78_56V6.1 (+1)	0.62815	0.38398	0.17643	0.54231	0.54231	0.2419	0.54231
Pp1s69_154V6.1	0.7833	0.47056	1.1625	2.8565	4.6711	3.6766	2.8565
Pp1s2_217V6.1	0.048977	0.10035	0.15424	0.024196	0	0.024196	0.048977
Pp1s138_83V6.1	0.64178	0.85842	2.0511	1.1036	1.1036	0.64178	0.45039
sp|Q00761|ACCD_PHYPA	1.0178	0.69299	0.69299	0.55077	0.42049	0.091715	0.30115
Pp1s189_18V6.1	3.8692	2.4252	2.8513	1.7092	2.0463	1.8728	2.0463
Pp1s181_3V6.1	0.48611	0.24619	0.30227	0.24619	0.19252	0.36087	0.30227
Pp1s4_215V6.1 (+1)	0.90662	0.73871	1.0908	0.90662	0.90662	1.0908	0.90662
Pp1s283_22V6.1 (+1)	0.055975	0.055975	0	0	0	0	0
Pp1s78_211V6.1	0.95686	0.49602	0.5999	0.95686	0.71099	0.49602	0.5999
Pp1s43_48V6.1	0.60188	0.60188	0.4809	0.73274	0.73274	0.73274	0.60188
Pp1s230_42V6.1	1.9409	2.3654	2.3654	1.9409	1.9409	1.2457	0.96246
Pp1s15_393V6.1	0.65463	0.65463	0.53978	1.2063	1.2063	0.65463	0.91067
Pp1s347_30V6.1	2.3845	1.5812	1.2542	1.2542	1.5812	0.96862	1.2542
Pp1s35_234V6.1	2.9897	2.6945	2.4211	1.7165	1.7165	2.168	2.168
Pp1s21_105V6.1 (+6)	0.21279	0	0.21279	0.96449	0.78385	0.21279	0.47086
Pp1s10_252V6.1	0.027689	0.027689	0.11544	0.24421	0.35045	0.11544	0.24421
Pp1s281_28V6.1 (+1)	0.039088	0.039088	0.039088	0.039088	0.039088	0.039088	0.039088
Pp1s109_238V6.1 (+1)	2.0231	2.3151	1.5141	1.7569	2.0231	1.2927	1.7569
Pp1s4_490V6.1	1.0552	0.61645	0.75115	0.75115	0.89707	0.37734	0.49212
Pp1s455_2V6.1	0.51405	0.67948	0.67948	0.59462	1.0665	0.51405	0.76885
Pp1s284_7V6.1	0.60859	0.2683	0.2683	0.6869	0.6869	0.3948	0.33005
Pp1s373_37V6.1	1.0576	1.0576	0.56983	0.43444	0.56983	0.43444	0.56983
Pp1s30_291V6.1	1.3498	0.66964	0.40739	0.98076	0.98076	0.66964	0.66964
Pp1s63_171V6.1	0	0	0	0	0	0	0
Pp1s7_458V6.1	1.5737	0.98876	0.82498	1.1672	0.98876	0.6747	0.82498
Pp1s97_59V6.1 (+1)	1.7165	2.6143	1.7165	0	0	0	0
Pp1s3_572V6.1	0.84366	0.35782	0.5822	1.1483	0.99018	0.70793	0.70793
Pp1s38_300V6.1	0.93168	0.50907	0.38985	2.1651	2.4366	1.0974	1.915
Pp1s1_230V6.1	1.662	1.662	1.084	1.3553	1.662	1.662	1.662
Pp1s245_2V6.1	0.67983	0.54071	0.83151	0.99688	0.99688	0.83151	0.99688
REV_Pp1s376_53V6.1	0	0	0	0	0.037336	0	0.037336
Pp1s89_87V6.1	1.3819	1.1042	1.5343	0.64206	0.64206	0.54335	0.64206
Pp1s146_88V6.1	0.36122	0.24094	0.24094	0.096929	0.031319	0	0.031319
Pp1s196_76V6.1	1.321	0.80292	0.9613	0.9613	1.988	0.80292	0.65733
Pp1s274_79V6.1 (+1)	1.4728	0.82865	0.57253	2.344	2.8886	2.8886	1.8756
Pp1s158_40V6.1	0	0	0	0	0	0	0
Pp1s293_16V6.1 (+2)	0.47603	0.57499	0.47603	0.38329	0.57499	0.38329	0.47603
Pp1s286_14V6.1	0.59998	0.2649	0.38957	0.59998	0.38957	0.38957	0.59998
Pp1s20_291V6.1 (+1)	0.70775	0.42873	0.60916	0	0	0	0
Pp1s68_222V6.1	0.45757	0.55203	0.99521	0.28554	0.28554	0.2073	0.2073
Pp1s46_326V6.1	0.97922	0.76636	0.97922	0.76636	1.2177	1.2177	1.2177
Pp1s20_14V6.1	0.22599	0.40436	0.22599	0.40436	0.31215	0.22599	0.14549
Pp1s5_369V6.1	0.83493	0.49881	0.40105	0.96295	0.83493	0.60338	0.96295
Pp1s197_123V6.1	2.0661	1.501	1.7692	2.0661	1.501	2.0661	1.501
Pp1s93_161V6.1	0.54469	0.41603	0.83813	0.83813	1.6029	0.83813	1.0051
Pp1s91_60V6.1	0.85046	0.67006	0.50725	0.67006	1.2718	0.67006	1.5172
Pp1s42_171V6.1	0.1366	0.1366	0.1366	0.079855	0.16609	0.079855	0.10787
Pp1s96_134V6.1	0.99425	0.55853	0.48355	0.27957	0.34424	0.15941	0.34424
Pp1s37_111V6.2	0.71099	0.49602	0.5999	0.8298	0.95686	0.49602	0.39888
Pp1s134_66V6.1	0.61215	0.21049	0.33181	0.61215	0.9515	0.77373	0.77373
Pp1s27_248V6.1	0.19753	0.12769	0.12769	0.39163	0.35045	0.23405	0.39163
Pp1s25_261V6.1	0.16797	0.16797	0.23001	0.29535	0.43662	0.29535	0.29535
Pp1s156_44V6.1	1.5304	1.2532	1.2532	1.5304	1.8418	1.2532	1.2532
Pp1s131_4V6.1	1.1975	0.99155	1.1975	0.99155	0.80489	0.99155	1.1975
Pp1s372_19V6.1	1.0763	0.57873	0.44094	1.4924	1.4924	1.4924	1.0763
Pp1s172_78V6.1 (+1)	0.43512	0.27231	0.82591	0.17416	0.17416	0.040955	0.17416
Pp1s10_393V6.1	2.4132	0.95352	1.1842	2.8163	2.8163	1.1842	3.2668
Pp1s80_60V6.2	0.30644	0.22199	0.49326	0.49326	0.49326	0.39673	0.39673
Pp1s75_56V6.1 (+1)	1.3946	1.2119	1.3946	1.0431	1.3946	1.0431	1.3946
Pp1s404_28V6.1 (+1)	0.43943	0.19976	0.19976	0.65011	0.57666	0.31414	0.43943
Pp1s131_184V6.1	1.1696	0.59156	1.5331	0.85822	1.5331	0.85822	0.85822
sp|Q6YXR4|YCF4_PHYPA	0.54447	0.54447	1.0636	0	0.15592	0.15592	0
Pp1s156_111V6.1 (+1)	1.1649	1.1649	0.55481	0.93872	0.93872	0.93872	0.93872
sp|Q6YXL0|RK14_PHYPA	2.8728	0.5704	1.4661	2.8728	3.8533	5.0819	5.0819
Pp1s167_98V6.1	0.66323	0.66323	0.66323	1.4359	1.4359	0.66323	1.145
Pp1s6_56V6.1	0.48956	0.34832	0.28281	0.28281	0.6456	0.16117	0.34832
Pp1s80_119V6.1 (+1)	1.5254	1.2784	0.67309	0.85449	1.0555	0.85449	1.0555
Pp1s269_70V6.1	0.56916	0.35035	0.35035	0.82343	0.45565	0.56916	0.45565
Pp1s7_405V6.1	0.10906	0.23001	0.67793	0.053119	0.16797	0.10906	0.053119
Pp1s59_217V6.1	0.58992	0.47167	0.36223	0.58992	0.47167	0.47167	0.47167
Pp1s332_33V6.1	0.25655	0.14685	0.20045	0.50842	0.6527	0.44107	0.31527
Pp1s14_40V6.1	0.40792	0.20516	0.097796	0.32302	0.32302	0.16825	0.32302
Pp1s247_7V6.1	1.3386	0.83459	1.3386	1.0713	0.83459	1.3386	1.3386
Pp1s15_126V6.1 (+1)	1.124	0.87336	0.87336	1.4081	1.124	0.45738	0.87336
Pp1s215_28V6.1	0.27354	0.12851	0.19884	1.4763	1.6306	0.27354	0.35291
Pp1s75_41V6.1	0.22045	0.1862	0.1862	0.25568	0.32922	0.29193	0.40708
Pp1s15_445V6.1	0.11623	0	0.55243	0	0	0	0
Pp1s34_442V6.1 (+1)	0.15509	0	0.15509	0	0	0	0
Pp1s186_83V6.1	0.97398	0.5736	1.2109	1.2109	1.2109	1.4762	0.76246
Pp1s11_397V6.1 (+1)	24.239	13.545	13.545	18.929	22.328	14.736	20.562
Pp1s19_276V6.1	1.9543	1.9543	3.2391	1.3222	1.3222	1.3222	1.0589
Pp1s282_30V6.1	0.71034	0.71034	0.58411	0.71034	0.84663	0.46719	0.58411
Pp1s13_438V6.1 (+1)	0.74189	0.41461	1.299	2.2521	2.4857	1.299	1.4641
Pp1s101_2V6.1	16.21	4.7609	12.827	7.925	7.925	7.925	4.7609
Pp1s26_72V6.1 (+4)	1.6954	2.0511	2.4537	0.85842	0.64178	0.28132	0.45039
Pp1s67_179V6.1 (+1)	0.33507	0.33507	0.33507	0.049343	0.21247	0	0.10112
Pp1s312_10V6.1 (+1)	0.34901	0.34901	0.34901	0.10494	0.10494	0.10494	0.22089
Pp1s173_105V6.1	0.806	0.40183	0.65975	0.52535	0.52535	0.18399	0.28831
Pp1s109_52V6.1	0.55151	0.66934	0.66934	0.66934	0.79613	0.44199	0.55151
Pp1s39_428V6.1	0.77907	0.63852	0.77907	1.915	1.915	1.0974	1.0974
Pp1s93_26V6.1	0.77553	0.77553	1.0496	0.43163	0.33249	0.53814	0.33249
Pp1s3_177V6.1 (+2)	0.40547	0.40547	0.61047	0.72392	1.2635	0.61047	0.40547
sp|Q6YXQ8|NDHJ_PHYPA	2.4759	1.9747	1.9747	0.36542	0.86438	0.59552	0.59552
Pp1s307_19V6.1	0.27377	0.27377	0.18868	0.27377	0.27377	0.23049	0.23049
Pp1s153_72V6.1	2.7717	1.3128	1.8521	2.2798	1.8521	2.0585	2.2798
Pp1s72_285V6.1 (+2)	0.37856	0.61859	0.37856	0.75385	1.2313	0.75385	0.90042
Pp1s429_29V6.1	2.2944	2.5493	1.8383	3.4384	3.7817	3.4384	3.1197
Pp1s3_96V6.2	0.32693	0.32693	0.23634	0.42417	0.76075	0.64054	0.64054
Pp1s34_308V6.2	0.36491	0.23047	0.59462	0	0	0	0
Pp1s6_239V6.1	0.718	0.43444	0.718	0.718	0.43444	0.56983	0.43444
Pp1s460_1V6.1	0.45454	0.59737	0.59737	0.45454	0.59737	0.45454	0.32447
Pp1s197_146V6.1 (+3)	0.46	0.46	0.39254	0.26683	0.39254	0.3282	0.39254
REV_tr|A9SBP4|A9SBP4_PHYPA	0.029041	0	0	0.029041	0.029041	0	0.029041
Pp1s147_10V6.1	0	0	0	0	0	0	0
Pp1s189_34V6.1 (+2)	0.55413	0.3239	0.49307	0.22191	0.3239	0.12778	0.27189
Pp1s66_233V6.1	1.221	0.70229	0.94443	0.94443	0.94443	0.49031	0.70229
Pp1s3_343V6.1	0.4628	0.25635	0.25635	0.4628	0.57841	0.70317	0.57841
Pp1s130_287V6.1 (+1)	0.80489	0.4824	0.4824	1.1975	0.99155	0.80489	0.63572
Pp1s223_31V6.1	0.40885	0.07096	0.07096	0.85336	0.73056	0.61589	0.85336
Pp1s209_94V6.1 (+1)	0	0.13952	0.13952	0	0	0	0
Pp1s49_42V6.1	0.39754	0.65214	0.65214	0.39754	0.18218	0.18218	0.18218
Pp1s249_62V6.1	1.714	1.2979	0.94567	0.64741	0.64741	0.64741	0.39487
Pp1s85_96V6.2	0.75385	0.27224	0.61859	0.90042	1.0592	1.0592	1.0592
tr|A9TWI6|A9TWI6_PHYPA	0.036222	0	0	0	0.036222	0	0
Pp1s1_534V6.1	0.83813	0.29809	1.1873	0.090858	0.68504	0.090858	0.090858
Pp1s47_214V6.1	1.1871	0.81929	0.58462	0.65927	1.0887	0.81929	0.90499
Pp1s73_31V6.1	1.5927	1.2628	0.50425	2.4038	2.4038	1.2628	1.2628
Pp1s91_247V6.1	1.6254	1.2028	1.8662	3.0714	3.4449	1.8662	2.1291
Pp1s120_21V6.1	0.52065	0.68864	0.52065	0.87519	1.3124	0.68864	1.0823
Pp1s223_97V6.1	0.80292	0.65733	0.40046	0.80292	0.65733	0.80292	0.40046
Pp1s12_316V6.1	0.39516	0.39516	0.24858	0.31983	0.24858	0.31983	0.55895
Pp1s30_253V6.1	0.72196	0.91967	0.72196	0.91967	1.3858	1.1401	1.1401
Pp1s158_108V6.1 (+1)	1.0264	0.55489	0.55489	0.85516	0.85516	0.6984	0.85516
Pp1s12_215V6.1 (+1)	0.79063	1.2605	1.0119	1.5399	2.2063	1.5399	0.79063
Pp1s185_119V6.1	0.71504	0.91043	0.91043	0.71504	0.91043	0.91043	0.91043
Pp1s241_66V6.1	0	0.54211	0.38384	0.38384	0.71848	0.38384	0.38384
Pp1s33_287V6.1	0.51742	0.36719	0.51742	0.16927	0.16927	0.16927	0.16927
Pp1s103_66V6.1	0.32447	0.098199	0.45454	0.45454	0.59737	0.59737	0.32447
Pp1s215_83V6.2	1.2398	1.2398	1.2398	1.2398	0.83087	0.4966	0.4966
Pp1s37_67V6.1 (+2)	2.3639	1.2451	0.8341	2.3639	2.3639	2.3639	1.7481
Pp1s181_117V6.1	0.3097	0.3097	0.45895	0.53984	0.53984	0.45895	0.45895
Pp1s21_393V6.1	0.90136	0.53477	0.70826	1.6218	1.3555	0.90136	0.90136
Pp1s52_45V6.1 (+1)	1.7673	1.9491	1.4367	1.7673	1.9491	1.5968	1.4367
Pp1s39_256V6.1	0.36329	0.36329	0.51164	1.2851	1.2851	1.2851	1.0608
Pp1s75_233V6.1	1.1522	1.1522	1.4455	0.2911	0.2911	0.46704	0.2911
Pp1s88_187V6.1	0.80766	0.60581	0.42649	0.42649	0.80766	0.2672	0.42649
Pp1s1_532V6.1	0.45218	0.18034	0.2303	0.13242	0.28237	0.13242	0.18034
Pp1s378_8V6.1	1.7875	0.84981	0.84981	0.84981	2.4218	1.2708	1.7875
Pp1s269_46V6.1 (+1)	0.76988	1.5896	1.1409	1.5896	2.1325	2.1325	2.1325
sp|Q6YXQ7|CHLL_PHYPA	0.21279	0.47086	0.61981	0.96449	1.3825	0.33561	0.61981
Pp1s77_2V6.1	0.60868	0.50305	0.50305	0.070276	0.070276	0.14549	0.14549
Pp1s15_270V6.1	0.66114	0.35595	0.35595	0.35595	0.66114	0.35595	0.22507
Pp1s17_355V6.1	0.73505	0.73505	0.73505	0	0	0	0
Pp1s445_15V6.1	0	0	0.12967	0	0	0	0
Pp1s251_36V6.2	0.61433	0.61433	0.49048	0.49048	0.49048	0.49048	0.37614
Pp1s341_38V6.1	0.5717	0.28556	0.3518	0.28556	0.5717	0.16267	0.49469
sp|Q6YXQ9|NDHK_PHYPA	1.0991	0.88809	0.88809	0.52762	0.69832	0.23597	0.37408
Pp1s9_115V6.1 (+1)	5.3479	3.1302	3.1302	2.6306	2.9564	2.0571	2.3315
